athlete,fis_code,date,location,nation,category,discipline,rank,fis_points,cup_points
제상미,195562,2026-01-19,Alpensia Cross-Country Center,,Far East Cup,5 km C,3,164.82,60
이건용,154934,2026-01-19,Alpensia Cross-Country Center,,Far East Cup,10 km C,DNF,,
이지예,212563,2026-01-19,Alpensia Cross-Country Center,,Far East Cup,5 km C,5,210.54,45
정종원,136287,2026-01-19,Alpensia Cross-Country Center,,Far East Cup,10 km C,8,235.81,32
변지영,188923,2026-01-19,Alpensia Cross-Country Center,,Far East Cup,10 km C,3,167.31,60
이진복,229490,2026-01-19,Alpensia Cross-Country Center,,Far East Cup,10 km C,7,231.15,36
이상호,163744,2026-01-18,Bansko,,Qualification,Parallel Giant Slalom,18,,
최흥철,10064,2026-01-18,Sapporo,,Qualification,Large Hill HS137,65,,
우수빈,229485,2026-01-18,Dongbeiya,,Qualification,Snowboard Cross,35,,
우수빈,229485,2026-01-18,Dongbeiya,,World Cup,Snowboard Cross,35,20.00,
마준호,220950,2026-01-18,Bansko,,Qualification,Parallel Giant Slalom,DNF,,
조완희,188938,2026-01-18,Bansko,,World Cup,Parallel Giant Slalom,22,90.00,9.00
조완희,188938,2026-01-18,Bansko,,Qualification,Parallel Giant Slalom,22,,
김상겸,111837,2026-01-18,Bansko,,Qualification,Parallel Giant Slalom,21,,
김상겸,111837,2026-01-18,Bansko,,World Cup,Parallel Giant Slalom,21,100.00,10.00
정동현,93945,2026-01-18,Wengen,,World Cup,Slalom,DNQ,,
마준호,220950,2026-01-18,Bansko,,World Cup,Parallel Giant Slalom,DNF,,
이상호,163744,2026-01-18,Bansko,,World Cup,Parallel Giant Slalom,18,130.00,13.00
홍승영,188936,2026-01-18,Bansko,,World Cup,Parallel Giant Slalom,28,40.00,3.00
홍승영,188936,2026-01-18,Bansko,,Qualification,Parallel Giant Slalom,28,,
마준호,220950,2026-01-17,Bansko,,World Cup,Parallel Giant Slalom,45,17.00,
마준호,220950,2026-01-17,Bansko,,Qualification,Parallel Giant Slalom,45,,
최가온,264594,2026-01-17,Laax,,World Cup,Halfpipe,1,1000.00,100.00
우수빈,229485,2026-01-17,Dongbeiya,,World Cup,Snowboard Cross,36,19.70,
정해림,156415,2026-01-17,Bansko,,World Cup,Parallel Giant Slalom,50,,
정해림,156415,2026-01-17,Bansko,,Qualification,Parallel Giant Slalom,50,,
이채운,239112,2026-01-17,Laax,,World Cup,Halfpipe,8,341.50,32.00
이나윤,212759,2026-01-17,Laax,,World Cup,Halfpipe,22,84.60,9.00
조완희,188938,2026-01-17,Bansko,,World Cup,Parallel Giant Slalom,37,19.40,
이상호,163744,2026-01-17,Bansko,,World Cup,Parallel Giant Slalom,11,240.00,24.00
조완희,188938,2026-01-17,Bansko,,Qualification,Parallel Giant Slalom,37,,
김상겸,111837,2026-01-17,Bansko,,Qualification,Parallel Giant Slalom,26,,
김상겸,111837,2026-01-17,Bansko,,World Cup,Parallel Giant Slalom,26,50.00,5.00
홍승영,188936,2026-01-17,Bansko,,World Cup,Parallel Giant Slalom,41,18.20,
이지오,261333,2026-01-17,Laax,,World Cup,Halfpipe,38,44.70,
홍승영,188936,2026-01-17,Bansko,,Qualification,Parallel Giant Slalom,41,,
김건희,261977,2026-01-17,Laax,,World Cup,Halfpipe,26,112.70,5.00
이상호,163744,2026-01-17,Bansko,,Qualification,Parallel Giant Slalom,7,,
이윤승,252896,2026-01-16,Waterville Valley Resort,,World Cup,Moguls,32,26.00,
정대윤,229480,2026-01-16,Waterville Valley Resort,,World Cup,Moguls,DNF,,
우수빈,229485,2026-01-16,Dongbeiya,,Qualification,Snowboard Cross,36,,
최흥철,10064,2026-01-16,Sapporo,,Qualification,Large Hill HS137,66,,
윤신이,258758,2026-01-16,Waterville Valley Resort,,World Cup,Moguls,39,18.80,
이나윤,212759,2026-01-15,Laax,,Qualification,Halfpipe,22,,
김건희,261977,2026-01-15,Laax,,Qualification,Halfpipe,13,,
최가온,264594,2026-01-15,Laax,,Qualification,Halfpipe,1,,
유승은,261339,2026-01-15,Seiser Alm,,European Cup Premium,Slopestyle,4,86.00,75.00
이지오,261333,2026-01-15,Laax,,Qualification,Halfpipe,19,,
이채운,239112,2026-01-15,Laax,,Qualification,Halfpipe,5,,
장선웅,270266,2026-01-14,Zhangjiakou,,Continental Cup,Large Hill HS140,25,,
최흥철,10064,2026-01-14,Zhangjiakou,,Continental Cup,Large Hill HS140,29,,
장선웅,270266,2026-01-13,Zhangjiakou,,Continental Cup,Large Hill HS140,23,,
조완희,188938,2026-01-13,Bad Gastein,,Qualification,Parallel Slalom,46,,
조완희,188938,2026-01-13,Bad Gastein,,World Cup,Parallel Slalom,46,,
김상겸,111837,2026-01-13,Bad Gastein,,World Cup,Parallel Slalom,23,80.00,8.00
김상겸,111837,2026-01-13,Bad Gastein,,Qualification,Parallel Slalom,23,,
김소희,177571,2026-01-13,Flachau,,World Cup,Slalom,DNF1,,
최흥철,10064,2026-01-13,Zhangjiakou,,Continental Cup,Large Hill HS140,28,,
마준호,220950,2026-01-13,Bad Gastein,,Qualification,Parallel Slalom,27,,
마준호,220950,2026-01-13,Bad Gastein,,World Cup,Parallel Slalom,27,45.00,4.00
최흥철,10064,2026-01-11,Sapporo Okuraymama,,Continental Cup,Large Hill HS137,52,,
장선웅,270266,2026-01-11,Sapporo Okuraymama,,Continental Cup,Large Hill HS137,47,,
정동현,93945,2026-01-11,Adelboden,,World Cup,Slalom,DNS1,,
정해림,156415,2026-01-10,Scuol,,Qualification,Parallel Giant Slalom,28,,
정해림,156415,2026-01-10,Scuol,,World Cup,Parallel Giant Slalom,28,40.00,3.00
마준호,220950,2026-01-10,Scuol,,Qualification,Parallel Giant Slalom,44,,
김다은,235623,2026-01-10,Buttermilk,,World Cup,Freeski Halfpipe,15,103.70,16.00
홍승영,188936,2026-01-10,Scuol,,World Cup,Parallel Giant Slalom,36,19.70,
마준호,220950,2026-01-10,Scuol,,World Cup,Parallel Giant Slalom,44,17.30,
홍승영,188936,2026-01-10,Scuol,,Qualification,Parallel Giant Slalom,36,,
윤신이,258758,2026-01-10,Val St. Come,,World Cup,Dual Moguls,46,16.70,
이상호,163744,2026-01-10,Scuol,,World Cup,Parallel Giant Slalom,16,150.00,15.00
김상겸,111837,2026-01-10,Scuol,,World Cup,Parallel Giant Slalom,12,220.00,22.00
조완희,188938,2026-01-10,Scuol,,Qualification,Parallel Giant Slalom,31,,
정대윤,229480,2026-01-10,Val St. Come,,World Cup,Dual Moguls,44,17.30,
최흥철,10064,2026-01-10,Sapporo Okuraymama,,Continental Cup,Large Hill HS137,51,,
